hhnum,snapnowhh,inchhavg_r,hhsize,hh_expenses,med_expenses,sum_snap_dist,fah_paid,fafh_paid,totalpaid
101501,0,2620.0,2,346.92,115.0,4.01,30.12,41.14,71.27
101502,1,805.0,4,45.0,0.0,18.000000000000004,40.4,14.21,54.61
101503,0,2426.662,4,260.0,0.0,6.05,62.68,16.36,79.04
101519,1,2280.0,3,192.0,5.0,28.51,17.49,6.83,24.31
101521,0,1517.0,1,433.33,180.0,70.53,23.17,52.41,75.58
101523,0,2310.0,3,336.67,12.44,5.29,25.09,12.22,37.3
101524,0,1480.0,2,162.67,70.5,35.92,65.93,14.41,80.34
101531,1,1068.0,2,158.0,50.0,3.54,117.99,78.36,196.35
101537,0,4620.0,2,444.58,1.04,8.989999999999998,76.35,25.75,102.1
101541,1,2020.0,4,305.0,0.0,3.76,52.66,7.6,60.26
101542,0,6160.0,4,428.92,41.25,43.3,42.24,1.65,43.89
101543,0,1700.0,1,1058.33,50.0,9.41,31.96,11.54,43.5
101552,1,600.0,1,843.0,0.0,6.930000000000001,40.53,26.27,66.8
101557,0,3954.92273295344,2,725.0,372.5,9.93,23.1,2.68,25.78
101559,0,6661.65051988016,4,382.0,0.0,12.8,4.42,3.75,8.16
101560,1,6020.0,7,259.14,0.0,6.75,13.96,20.98,34.94
101570,0,8013.0,2,461.0,316.25,30.12,144.62,11.1,155.72
101574,1,686.0,1,169.0,12.4,15.57,26.18,17.77,43.95
101576,1,1516.67,5,106.8,0.0,7.949999999999999,41.13,4.62,45.75
101581,0,863.755690780416,1,265.0,951.67,7.09,31.14,82.66,113.8
101585,0,5800.0,1,1355.0,10.0,1.6500000000000001,159.98,75.61,235.59
101586,1,1668.338,3,116.67,0.0,7.69,10.64,1.8,12.44
101590,0,3400.0,4,169.25,89.75,2.69,25.14,10.33,35.48
101591,0,18258.0,2,1442.34,95.0,21.9,120.08,17.78,137.86
101598,0,3958.16366368805,2,733.5,0.0,5.970000000000001,15.85,2.04,17.89
101602,0,3948.99,3,385.55,280.0,10.07,56.12,21.46,77.57
101608,0,3669.97342891657,2,412.5,0.0,4.300000000000001,22.24,20.86,43.1
101609,0,1180.0,1,1073.33,207.0,8.959999999999999,13.35,4.15,17.5
101618,0,7840.0,4,259.42,210.25,8.4,9.26,6.96,16.22
101624,0,3620.0,3,426.67,0.0,6.88,31.61,11.6,43.21
101625,0,2572.0,1,750.0,40.0,75.63,12.47,28.17,40.64
101626,1,1416.0,2,303.0,15.0,6.48,76.6,5.42,82.02
101630,0,9000.00000000001,5,174.0,2.0,4.58,38.26,2.66,40.92
101631,1,826.400906408744,4,100.25,0.0,6.87,43.34,14.6,57.94
101637,0,3943.338,2,197.66,83.0,6.0600000000000005,10.63,11.31,21.94
101638,1,699.0,1,695.0,22.0,27.689999999999998,23.45,7.81,31.26
101640,0,2720.0,6,170.0,5.0,14.02,21.81,2.43,24.24
101652,1,3921.91,4,304.5,27.5,4.78,72.06,5.03,77.08
101661,0,3150.0,3,391.67,150.0,26.630000000000003,22.73,2.13,24.86
101664,0,5822.0,2,812.0,25.0,44.60999999999999,31.46,6.93,38.39
101669,0,6081.0,3,796.67,388.0,7.130000000000001,10.26,2.5,12.76
101670,0,5380.0,3,228.5,141.67,33.68000000000001,29.83,15.5,45.32
101678,1,2761.2,4,292.42,83.84,11.35,28.14,6.76,34.9
101680,0,3900.0,1,667.67,101.67,10.09,65.66,0.0,65.66
101690,0,3496.0,3,460.0,0.0,4.4,11.72,0.0,11.72
101697,0,1400.0,1,1286.67,180.0,6.15,58.56,43.9,102.46
101705,0,2422.0,2,357.5,0.0,11.75,83.34,35.38,118.72
101712,0,5024.88,4,200.25,64.5,6.13,4.63,2.7,7.32
101713,0,4589.0,3,333.5,304.0,30.119999999999997,96.21,35.5,131.71
101718,0,2730.0,3,261.67,90.0,8.3,38.74,30.87,69.62
101719,1,1759.338,1,450.0,0.0,8.69,154.38,12.35,166.73
101729,0,1800.0,4,213.75,0.0,8.58,28.48,10.45,38.93
101730,0,1415.484,1,420.0,80.0,6.21,51.75,8.5,60.25
101738,0,3640.11675985298,4,100.0,72.5,8.04,25.6,0.5,26.1
101739,0,1087.67,2,255.46,0.0,59.510000000000005,9.04,19.44,28.48
101744,1,724.353578050814,2,312.0,0.0,61.53,88.82,3.34,92.16
101750,0,5666.67,2,375.0,65.5,7.66,8.89,4.5,13.39
101752,0,4129.0,5,211.2,146.0,7.2299999999999995,56.3,4.38,60.68
101756,0,11636.2690869678,5,78.0,21.4,6.890000000000001,20.09,3.4,23.49
101757,1,2145.0,2,186.0,0.0,36.2,2.72,20.2,22.92
101758,0,2096.0,2,883.0,0.0,2.7700000000000005,26.56,5.78,32.34
101759,0,2600.0,2,330.0,15.0,11.22,23.66,6.58,30.23
101763,0,8000.0,1,1660.67,425.0,6.109999999999999,9.77,16.77,26.54
101776,0,2660.0,1,829.58,261.0,18.82,13.99,57.69,71.68
101777,0,13383.33,3,353.83,340.33,31.97,34.48,9.04,43.52
101784,1,2158.338,6,62.36,16.67,4.97,7.27,6.31,13.58
101785,0,2848.0,3,96.15,0.0,26.25,28.29,17.44,45.72
101794,1,2256.0,5,182.0,0.0,5.050000000000001,9.88,0.4,10.28
101797,0,5040.57099589548,4,351.25,35.0,7.220000000000001,27.46,32.96,60.42
101815,0,6711.95782046137,3,352.33,100.0,38.1,45.67,18.96,64.63
101828,1,2100.0,3,167.33,38.33,10.09,13.13,4.18,17.3
101829,1,768.0,3,246.67,50.0,3.7100000000000004,58.72,59.53,118.25
101831,0,3782.73120468229,5,271.77,39.8,44.65,19.55,6.24,25.8
101833,0,10163.0,3,466.67,316.67,49.46000000000001,16.94,46.73,63.66
101840,1,1500.0,2,186.04,70.0,23.04,12.88,0.0,12.88
101844,0,2747.12058820819,2,606.66,389.41,28.25,73.71,99.07,172.78
101845,0,2736.0,2,509.0,3.12,24.35,54.72,4.56,59.28
101856,1,1533.32556720264,3,255.33,0.0,2.85,58.21,4.08,62.3
101857,0,4014.1310379825,7,212.57,0.0,5.460000000000001,62.17,0.26,62.43
101862,0,8262.95687593277,5,265.6,0.0,7.640000000000001,32.32,0.49,32.81
101870,0,3513.27099434857,3,450.0,20.14,5.959999999999999,63.99,15.44,79.43
101874,0,4385.33,3,354.61,62.67,34.370000000000005,60.99,21.74,82.73
101880,0,2456.14263678229,6,168.83,0.0,7.370000000000001,27.83,12.17,40.0
101881,1,1219.0,1,831.0,36.0,7.77,47.16,90.03,137.19
101888,0,1403.0,1,280.92,98.0,35.190000000000005,37.95,50.25,88.2
101889,0,5676.67,4,205.0,13.0,4.65,4.79,11.24,16.03
101890,0,3640.0,4,61.25,75.0,25.439999999999998,34.38,5.98,40.36
101895,0,1222.0,1,296.0,307.0,21.36,23.83,0.0,23.83
101896,0,1600.0,4,60.0,0.0,4.37,70.14,84.76,154.9
101906,0,2211.39941747064,3,117.22,0.0,6.640000000000001,43.82,34.91,78.74
101908,0,4451.0,2,268.05,67.5,9.95,24.1,35.18,59.28
